,start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,track_title,pitches,timbre
0,9.50372,0.13828,0.04,-11.717,0.06253,-9.15,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.195, 0.347, 0.595, 0.291, 0.482, 0.384, 0.691, 1.0, 0.558, 0.612, 0.158, 0.208]","[49.87, 65.013, 10.944, -25.562, -9.03, -29.877, 6.192, 9.56, 14.577, 5.897, -6.748, -7.387]"
0,9.642,0.22721,0.695,-11.616,0.04307,-3.506,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.658, 1.0, 0.191, 0.235, 0.31, 0.075, 0.118, 0.156, 0.199, 0.823, 0.241, 0.493]","[53.926, 73.785, -0.135, -14.797, -11.193, -25.493, 12.002, 16.899, 4.84, 7.447, -9.65, 1.832]"
0,9.86921,0.41692,0.181,-8.743,0.06896,-5.754,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.081, 0.07, 0.06, 0.046, 0.225, 0.048, 0.034, 0.041, 0.11, 1.0, 0.152, 0.109]","[52.156, 65.846, 27.239, 5.032, 15.622, -29.839, -1.103, 7.426, 12.53, -5.669, -14.023, 7.405]"
0,10.28612,0.12816,0.027,-11.609,0.02337,-9.558,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.231, 0.245, 0.099, 0.226, 0.67, 0.239, 0.386, 0.499, 0.702, 1.0, 0.579, 0.242]","[49.905, 61.571, 28.258, -19.15, -9.424, -36.013, -7.651, -2.951, 4.622, 4.811, -8.375, -2.042]"
0,10.41429,0.26132,0.298,-10.917,0.02445,-7.654,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.076, 0.072, 0.044, 0.053, 0.366, 0.045, 0.037, 0.054, 0.111, 1.0, 0.164, 0.117]","[50.79, 72.678, 5.145, -7.607, 13.16, -23.182, -19.584, -35.812, 17.927, 4.974, -4.047, 4.756]"
0,10.6756,0.11016,0.23,-11.043,0.03561,-7.924,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.219, 0.103, 0.048, 0.219, 0.613, 0.309, 0.371, 0.435, 0.596, 1.0, 0.528, 0.172]","[50.238, 68.579, 15.998, 0.908, 3.84, -28.045, -14.931, -9.175, 10.39, -3.324, -9.648, -4.996]"
0,10.78576,0.25551,0.544,-12.432,0.02833,-6.586,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.123, 0.112, 0.097, 0.091, 1.0, 0.099, 0.063, 0.094, 0.138, 0.929, 0.154, 0.211]","[51.546, 111.185, 3.398, 1.397, 11.228, -16.642, -7.181, -26.034, 24.575, -9.613, -1.371, -1.403]"
0,11.04127,0.11574,0.307,-11.672,0.02986,-7.033,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.293, 0.099, 0.047, 0.325, 0.928, 0.421, 0.437, 0.462, 0.63, 1.0, 0.523, 0.128]","[50.554, 72.29, 23.015, 0.95, 9.66, -30.434, 0.229, -6.919, 21.458, 5.3, -1.14, 3.923]"
0,11.15701,0.2546,0.342,-11.428,0.01415,-5.415,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.206, 0.788, 1.0, 0.188, 0.084, 0.041, 0.176, 0.232, 0.458, 0.453, 0.059, 0.065]","[50.737, 47.119, -9.771, 9.062, -21.277, -59.032, 0.013, 4.235, 11.321, 2.66, -5.708, -1.974]"
0,11.41161,0.239,0.577,-12.455,0.00718,-6.503,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.265, 0.48, 0.464, 0.545, 1.0, 0.247, 0.216, 0.132, 0.118, 0.135, 0.064, 0.559]","[51.549, 69.226, 1.198, -13.489, -10.809, -50.939, -7.159, 2.463, 16.962, 10.536, -9.577, -1.138]"
0,11.65061,0.27905,0.641,-10.61,0.03593,-3.913,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.737, 1.0, 0.587, 0.236, 0.123, 0.081, 0.159, 0.685, 0.11, 0.137, 0.09, 0.256]","[52.914, 92.506, -14.198, 4.275, -13.876, -28.928, 13.903, 9.647, 9.855, -5.28, -3.266, -13.317]"
0,11.92966,0.10989,0.463,-10.627,0.01977,-6.498,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.146, 0.311, 0.397, 0.175, 0.52, 0.482, 0.802, 1.0, 0.667, 0.729, 0.262, 0.17]","[51.652, 105.934, 34.412, 2.579, -3.121, -55.148, 3.798, -15.427, 5.788, 7.726, -8.333, -4.529]"
0,12.03955,0.25642,0.051,-9.437,0.0407,-7.481,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.1, 0.108, 0.46, 0.081, 0.088, 0.067, 0.264, 1.0, 0.179, 0.14, 0.068, 0.174]","[50.775, 72.966, 29.859, 11.965, 1.565, -33.042, -5.338, -10.922, 3.286, -4.816, -14.794, 3.222]"
0,12.29596,0.12177,0.336,-12.267,0.0306,-8.13,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.098, 0.265, 0.396, 0.144, 0.47, 0.454, 0.749, 1.0, 0.579, 0.586, 0.173, 0.098]","[49.956, 64.867, 29.585, -9.239, -6.002, -26.27, -14.386, -20.037, 7.081, 1.007, -4.355, -15.066]"
0,12.41773,0.2434,0.368,-11.665,0.00704,-6.805,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.048, 0.055, 0.35, 0.048, 0.044, 0.026, 0.226, 1.0, 0.168, 0.093, 0.041, 0.147]","[50.729, 58.36, 26.713, 20.207, 5.108, -38.686, -11.613, -17.739, 6.311, 11.113, -17.831, 3.894]"
0,12.66113,0.12662,0.151,-12.198,0.03531,-9.385,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.073, 0.223, 0.339, 0.167, 0.537, 0.474, 0.814, 1.0, 0.601, 0.654, 0.153, 0.092]","[48.751, 60.352, 26.905, -3.403, -6.012, -25.28, -2.392, -10.632, 6.509, 2.165, -8.862, -4.488]"
0,12.78776,0.25633,0.453,-13.125,0.0265,-8.005,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.102, 0.131, 0.621, 0.078, 0.063, 0.032, 0.283, 1.0, 0.15, 0.223, 0.053, 0.129]","[49.727, 91.996, 19.763, 6.043, -7.21, -27.278, -4.67, 3.526, 7.569, 0.122, -3.157, 2.103]"
0,13.04408,0.13351,0.421,-13.295,0.0285,-8.145,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.079, 0.28, 0.387, 0.141, 0.533, 0.513, 0.85, 1.0, 0.545, 0.656, 0.161, 0.129]","[49.855, 98.2, 31.701, -9.842, 0.386, -26.804, 14.848, 7.011, 14.582, 8.98, 9.212, 4.715]"
0,13.1776,0.22621,0.419,-10.298,0.01536,-6.278,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.295, 0.805, 0.945, 0.416, 0.273, 0.082, 0.335, 1.0, 0.205, 0.104, 0.08, 0.187]","[50.418, 57.742, -2.644, 11.462, -22.803, -47.16, 6.841, 7.761, 8.688, 3.503, -4.49, -7.967]"
0,13.40381,0.15655,0.58,-13.644,0.04114,-7.685,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.644, 0.787, 0.245, 0.112, 0.4, 0.146, 0.528, 0.478, 0.896, 1.0, 0.422, 0.098]","[50.359, 51.878, 18.373, -22.288, 1.259, -12.865, 6.652, 2.52, 3.492, 8.09, 10.923, -0.358]"
0,13.56036,0.10449,0.396,-10.432,0.01145,-5.53,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.782, 0.502, 0.115, 0.115, 0.32, 0.252, 0.531, 0.587, 0.941, 0.995, 1.0, 0.05]","[52.059, 151.566, 23.777, -0.726, 0.839, -56.822, -7.965, -11.243, 18.675, 11.777, -9.473, 1.972]"
0,13.66485,0.27878,0.642,-9.366,0.04678,-2.978,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.891, 0.639, 0.207, 0.146, 0.493, 1.0, 0.161, 0.088, 0.09, 0.177, 0.113, 0.231]","[54.354, 95.545, 6.279, -7.032, -17.295, -23.024, 15.967, 32.848, -5.53, 18.346, 1.087, 16.894]"
0,13.94363,0.50476,0.226,-8.147,0.03801,-5.513,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.228, 0.043, 0.036, 0.027, 0.2, 1.0, 0.101, 0.056, 0.028, 0.078, 0.028, 0.042]","[52.789, 107.723, 19.756, 5.035, -12.804, -34.514, 8.835, -2.473, 2.24, 9.392, -6.392, 4.511]"
0,14.44839,0.23252,0.316,-10.699,0.04197,-7.189,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.441, 0.117, 0.079, 0.042, 0.332, 1.0, 0.209, 0.135, 0.037, 0.184, 0.036, 0.147]","[51.034, 100.505, 22.326, 12.104, -19.866, -29.625, 13.056, -13.822, -8.906, 2.182, -13.627, 19.711]"
0,14.68091,0.3946,0.44,-12.192,0.05605,-7.013,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.303, 0.045, 0.045, 0.033, 0.222, 1.0, 0.208, 0.083, 0.035, 0.091, 0.028, 0.046]","[50.774, 93.771, 21.755, -19.016, -3.568, -24.398, 17.98, 8.407, 6.247, 5.447, -18.198, 18.664]"
0,15.07551,0.12136,0.067,-11.238,0.06438,-9.112,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.83, 0.747, 0.566, 0.571, 0.99, 1.0, 0.668, 0.803, 0.343, 0.745, 0.166, 0.35]","[50.058, 72.958, 34.728, -22.467, -6.457, -30.782, 5.57, 5.947, -2.594, 1.583, -8.275, 12.107]"
0,15.19687,0.2502,0.39,-10.433,0.01091,-5.096,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.677, 0.25, 0.345, 0.1, 0.227, 0.125, 0.322, 1.0, 0.744, 0.696, 0.375, 0.539]","[51.084, 87.957, -10.772, 13.992, -20.616, -51.377, -5.663, 0.559, 0.219, -6.214, -16.113, 22.861]"
0,15.44707,0.23333,0.75,-13.604,0.01654,-5.86,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.428, 0.743, 0.405, 0.147, 0.478, 0.118, 0.26, 0.305, 0.268, 1.0, 0.276, 0.28]","[52.06, 91.042, 17.604, 2.908, -19.282, -39.473, 3.994, 10.295, 4.363, -10.736, 1.024, 3.391]"
0,15.68041,0.26512,0.688,-11.046,0.03502,-4.021,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.588, 1.0, 0.455, 0.179, 0.053, 0.029, 0.053, 0.035, 0.064, 0.278, 0.067, 0.122]","[53.406, 76.596, -9.663, -8.888, -9.205, -20.69, 9.485, 17.467, -2.882, 6.766, -2.308, -12.087]"
0,15.94553,0.38404,0.183,-9.412,0.01359,-5.78,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.439, 0.5, 1.0, 0.19, 0.106, 0.066, 0.114, 0.13, 0.108, 0.661, 0.07, 0.057]","[51.812, 75.43, -3.65, -13.727, -26.197, -46.434, 10.065, -1.934, 7.02, -5.742, -12.032, -11.498]"
0,16.32957,0.12195,0.071,-11.137,0.04084,-8.537,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.589, 1.0, 0.506, 0.346, 0.22, 0.179, 0.054, 0.058, 0.055, 0.165, 0.117, 0.045]","[50.24, 77.945, 12.963, -20.833, -28.728, -22.366, 10.022, -5.563, -1.243, -9.495, -4.623, -3.263]"
0,16.45152,0.21542,0.517,-10.74,0.03481,-5.304,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.763, 1.0, 0.51, 0.16, 0.082, 0.039, 0.043, 0.038, 0.086, 0.397, 0.111, 0.101]","[52.096, 79.607, -17.562, -8.227, -26.364, -22.253, 12.083, -6.078, 20.863, -15.704, -12.043, -1.084]"
0,16.66694,0.14485,0.367,-11.481,0.06199,-7.169,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.468, 1.0, 0.826, 0.577, 0.35, 0.285, 0.07, 0.157, 0.17, 0.472, 0.17, 0.095]","[50.722, 57.751, 7.139, -33.518, -15.794, -20.618, -2.348, 1.438, 4.756, -2.627, -11.314, -2.985]"
0,16.81179,0.3532,0.341,-10.275,0.05555,-6.412,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.688, 1.0, 0.555, 0.341, 0.313, 0.193, 0.309, 0.268, 0.318, 0.551, 0.158, 0.48]","[50.999, 75.147, 6.947, -18.435, -17.761, -18.591, -4.38, 0.616, 9.467, -12.836, -25.043, -1.189]"
0,17.16499,0.29664,0.638,-12.697,0.06024,-5.54,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.35, 0.413, 0.419, 0.414, 1.0, 0.228, 0.1, 0.101, 0.133, 0.262, 0.097, 0.476]","[50.201, 66.965, 4.657, -28.251, -22.098, -7.078, -4.838, 14.178, 7.603, -2.816, -21.272, -14.743]"
0,17.46163,0.12163,0.574,-12.475,0.00722,-6.441,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.554, 0.999, 1.0, 0.942, 0.721, 0.71, 0.243, 0.272, 0.239, 0.25, 0.136, 0.032]","[51.932, 73.123, -4.615, -20.339, -23.818, -41.592, 0.202, 6.408, 21.232, -12.116, -14.225, -8.533]"
0,17.58327,0.10426,0.198,-10.303,0.01865,-5.553,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.577, 0.876, 0.93, 0.711, 0.846, 0.791, 0.959, 1.0, 0.764, 0.837, 0.428, 0.059]","[51.507, 69.72, 4.959, -1.122, -13.043, -51.322, -19.568, 8.542, 6.822, -3.939, -2.511, -6.535]"
0,17.68753,0.26222,0.357,-11.13,0.05651,-7.246,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.189, 0.159, 0.381, 0.096, 0.232, 0.066, 0.071, 0.188, 0.299, 1.0, 0.247, 0.107]","[50.596, 67.132, 8.268, -14.318, -3.057, -21.788, -10.397, 11.32, 15.435, 10.298, -12.439, -4.909]"
0,17.94975,0.27161,0.174,-12.732,0.01878,-6.768,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.46, 0.315, 0.091, 0.034, 0.148, 1.0, 0.272, 0.046, 0.047, 0.124, 0.037, 0.212]","[47.264, 82.883, -84.508, -3.82, -24.1, -70.837, -27.083, 24.733, 4.18, 10.054, 14.868, -3.846]"
0,18.22136,0.2098,0.626,-16.688,0.0144,-9.578,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.328, 0.072, 0.036, 0.018, 0.304, 1.0, 0.31, 0.019, 0.04, 0.255, 0.026, 0.082]","[45.476, 91.887, -75.051, 0.412, 5.682, -81.387, -35.445, 24.395, 14.582, -10.545, -4.708, 6.372]"
0,18.43116,0.16803,0.918,-19.002,0.04908,-7.273,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.461, 0.969, 0.769, 0.758, 1.0, 0.991, 0.774, 0.785, 0.578, 0.587, 0.384, 0.037]","[46.308, 94.208, -65.852, -36.956, 1.535, 26.133, -0.55, 18.833, -0.874, 38.194, -34.896, 4.068]"
0,18.59918,0.36893,0.216,-18.888,0.01932,-12.611,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.205, 0.117, 0.019, 0.038, 0.122, 1.0, 0.056, 0.026, 0.032, 0.104, 0.023, 0.038]","[42.492, 64.229, -84.994, -0.682, -5.934, -60.131, -35.486, 42.433, 20.776, -0.457, 4.052, 6.839]"
0,18.96812,0.23066,0.922,-23.812,0.01213,-8.575,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.358, 1.0, 0.087, 0.258, 0.627, 0.656, 0.162, 0.132, 0.05, 0.089, 0.04, 0.129]","[42.807, 44.133, -118.673, 29.994, -36.982, -96.22, -43.598, 27.984, 13.757, 16.859, -6.968, 9.667]"
